Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns
2013-09-20,Fingerprint_Cards_AB,Ocado_Group_PLC,Vestas_Wind_Systems_A/S,Thomas_Cook_Group_PLC,Siemens_Gamesa_Renewable_Energy_SA,REC_Silicon_ASA,Alcatel_Lucent_SA,Cie_Plastic_Omnium_SA,Genmab_A/S,Peugeot_SA,Mediaset_SpA,Atresmedia_Corp_de_Medios_de_Comunicacio,Sacyr_SA,Paysafe_Group_Ltd,Bank_of_Ireland_Group_PLC,MorphoSys_AG,Technicolor_SA.1,CD_Projekt_SA,Unipol_Gruppo_Finanziario_SpA,Zeltia_SA,Faurecia_SA,Bankinter_SA,Meyer_Burger_Technology_AG,Smurfit_Kappa_Group_PLC,ICA_Gruppen_AB,Unipol_Gruppo_Finanziario_SpA.1,Nobel_Biocare_Holding_AG.1,Pandora_A/S,Sports_Direct_International_PLC,Neste_Oyj,Wienerberger_AG,Permanent_TSB_Group_Holdings_PLC,Eniro_AB,Intrum_AB,Jyske_Bank_A/S,Kinnevik_AB,easyJet_PLC,Heidelberger_Druckmaschinen_AG,Valeo_SA,Independent_News_&_Media_PLC,International_Consolidated_Airlines_Grou,LPP_SA,Sky_Deutschland_AG,UnipolSai_Assicurazioni_SpA,Grafton_Group_PLC.1,ITV_PLC,Punch_Taverns_Ltd,3i_Group_PLC,International_Personal_Finance_PLC,Howden_Joinery_Group_PLC,United_Internet_AG,Regus_PLC,IWG_PLC,Basilea_Pharmaceutica_AG,Grafton_Group_PLC,Sartorius_Stedim_Biotech,Fiat_SpA,Duerr_AG,Rightmove_PLC,JM_AB,0.016682119659865963
2013-10-01,Ocado_Group_PLC,Fingerprint_Cards_AB,Thomas_Cook_Group_PLC,Vestas_Wind_Systems_A/S,Siemens_Gamesa_Renewable_Energy_SA,Genmab_A/S,Cie_Plastic_Omnium_SA,REC_Silicon_ASA,Paysafe_Group_Ltd,Sacyr_SA,Alcatel_Lucent_SA,Peugeot_SA,CD_Projekt_SA,Eniro_AB,Atresmedia_Corp_de_Medios_de_Comunicacio,MorphoSys_AG,Zeltia_SA,ICA_Gruppen_AB,Technicolor_SA.1,Intrum_AB,Unipol_Gruppo_Finanziario_SpA,AIB_Group_PLC,Sports_Direct_International_PLC,Mediaset_SpA,Smurfit_Kappa_Group_PLC,Valeo_SA,Regus_PLC,IWG_PLC,Unipol_Gruppo_Finanziario_SpA.1,Dixons_Retail_Group_Ltd,Faurecia_SA,Kinnevik_AB,Howden_Joinery_Group_PLC,Pandora_A/S,Kabel_Deutschland_Holding_AG,Betfair_Group_Ltd,ITV_PLC,Neste_Oyj,JM_AB,United_Internet_AG,Jyske_Bank_A/S,International_Consolidated_Airlines_Grou,Grafton_Group_PLC,LPP_SA,Bank_of_Ireland_Group_PLC,Grafton_Group_PLC.1,Playtech_Plc,Nobel_Biocare_Holding_AG.1,Electricite_de_France_SA,Ubisoft_Entertainment_SA,Wienerberger_AG,Swedish_Orphan_Biovitrum_AB,Thales_SA,Duerr_AG,A2A_SpA,International_Personal_Finance_PLC,Basilea_Pharmaceutica_AG,ACEA_SpA,Leoni_AG,Fiat_SpA,-0.0009287665651445074
2013-10-10,Ocado_Group_PLC,Vestas_Wind_Systems_A/S,Siemens_Gamesa_Renewable_Energy_SA,Thomas_Cook_Group_PLC,Fingerprint_Cards_AB,Genmab_A/S,Paysafe_Group_Ltd,CD_Projekt_SA,REC_Silicon_ASA,Cie_Plastic_Omnium_SA,Alcatel_Lucent_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,Peugeot_SA,Sacyr_SA,MorphoSys_AG,Zeltia_SA,Sports_Direct_International_PLC,LPP_SA,Wienerberger_AG,Dixons_Retail_Group_Ltd,ICA_Gruppen_AB,Eniro_AB,PostNL_NV,Pandora_A/S,Smurfit_Kappa_Group_PLC,Basilea_Pharmaceutica_AG,United_Internet_AG,Intrum_AB,Swedish_Orphan_Biovitrum_AB,Technicolor_SA.1,Kabel_Deutschland_Holding_AG,Grafton_Group_PLC.1,Unipol_Gruppo_Finanziario_SpA,Playtech_Plc,Grafton_Group_PLC,International_Consolidated_Airlines_Grou,IWG_PLC,Regus_PLC,Valeo_SA,Faurecia_SA,A2A_SpA,Electricite_de_France_SA,Ubisoft_Entertainment_SA,Unipol_Gruppo_Finanziario_SpA.1,Howden_Joinery_Group_PLC,Perrigo_Corp_DAC,Rightmove_PLC,ACEA_SpA,Orange_Participations_UK_Ltd,Betfair_Group_Ltd,NMC_Health_PLC,WS_Atkins_Ltd,ITV_PLC,Sky_Deutschland_AG,Kinnevik_AB,International_Personal_Finance_PLC,Jyske_Bank_A/S,Thales_SA,1&1_Drillisch_AG,easyJet_PLC,0.005331850262357397
2013-10-21,Ocado_Group_PLC,Vestas_Wind_Systems_A/S,Siemens_Gamesa_Renewable_Energy_SA,Thomas_Cook_Group_PLC,REC_Silicon_ASA,Genmab_A/S,Atresmedia_Corp_de_Medios_de_Comunicacio,Fingerprint_Cards_AB,Sacyr_SA,CD_Projekt_SA,Alcatel_Lucent_SA,Peugeot_SA,Zeltia_SA,Cie_Plastic_Omnium_SA,LPP_SA,Paysafe_Group_Ltd,MorphoSys_AG,Pandora_A/S,A2A_SpA,Unipol_Gruppo_Finanziario_SpA,Unipol_Gruppo_Finanziario_SpA.1,Mediaset_SpA,Sports_Direct_International_PLC,Bankinter_SA,PostNL_NV,Electricite_de_France_SA,Swedish_Orphan_Biovitrum_AB,Intrum_AB,United_Internet_AG,Faurecia_SA,Dixons_Retail_Group_Ltd,Technicolor_SA.1,Jyske_Bank_A/S,Wienerberger_AG,Valeo_SA,ITV_PLC,Playtech_Plc,Grafton_Group_PLC,Orange_Participations_UK_Ltd,Grafton_Group_PLC.1,ICA_Gruppen_AB,Howden_Joinery_Group_PLC,Smurfit_Kappa_Group_PLC,Premier_Foods_PLC,Thales_SA,Sky_Deutschland_AG,Regus_PLC,IWG_PLC,Nokia_OYJ,Television_Francaise_1,Kabel_Deutschland_Holding_AG,Bank_of_Ireland_Group_PLC,ACEA_SpA,Basilea_Pharmaceutica_AG,EI_Group_PLC,Mediaset_Espana_Comunicacion_SA,Perrigo_Corp_DAC,International_Consolidated_Airlines_Grou,International_Personal_Finance_PLC,Autogrill_SpA,0.05617383596309962
2013-10-30,Siemens_Gamesa_Renewable_Energy_SA,Ocado_Group_PLC,Vestas_Wind_Systems_A/S,REC_Silicon_ASA,Independent_News_&_Media_PLC,Atresmedia_Corp_de_Medios_de_Comunicacio,Genmab_A/S,Sacyr_SA,AIB_Group_PLC,Fingerprint_Cards_AB,Alcatel_Lucent_SA,Cie_Plastic_Omnium_SA,Unipol_Gruppo_Finanziario_SpA,Zeltia_SA,CD_Projekt_SA,Paysafe_Group_Ltd,Premier_Foods_PLC,Mediaset_SpA,Unipol_Gruppo_Finanziario_SpA.1,A2A_SpA,Thomas_Cook_Group_PLC,Bank_of_Ireland_Group_PLC,Eniro_AB,LPP_SA,Pandora_A/S,Electricite_de_France_SA,Peugeot_SA,Bankinter_SA,Mediaset_Espana_Comunicacion_SA,Valeo_SA,Nokia_OYJ,United_Internet_AG,PostNL_NV,Regus_PLC,IWG_PLC,Faurecia_SA,Dixons_Retail_Group_Ltd,Jyske_Bank_A/S,Wienerberger_AG,ITV_PLC,Autogrill_SpA,Smurfit_Kappa_Group_PLC,ACEA_SpA,MorphoSys_AG,Fomento_de_Construcciones_y_Contratas_SA,Promotora_de_Informaciones_SA,Thales_SA,Duerr_AG,Meyer_Burger_Technology_AG,International_Consolidated_Airlines_Grou,International_Personal_Finance_PLC,Howden_Joinery_Group_PLC,Technicolor_SA.1,Perrigo_Corp_DAC,Swedish_Orphan_Biovitrum_AB,Grafton_Group_PLC.1,Sports_Direct_International_PLC,Kinnevik_AB,NOS_SGPS_SA,Nobel_Biocare_Holding_AG.1,-0.025448630331684
2013-11-08,Vestas_Wind_Systems_A/S,Independent_News_&_Media_PLC,Ocado_Group_PLC,REC_Silicon_ASA,Siemens_Gamesa_Renewable_Energy_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,Sacyr_SA,Premier_Foods_PLC,Genmab_A/S,Alcatel_Lucent_SA,Eniro_AB,Fingerprint_Cards_AB,CD_Projekt_SA,Unipol_Gruppo_Finanziario_SpA,Mediaset_SpA,Unipol_Gruppo_Finanziario_SpA.1,Cie_Plastic_Omnium_SA,Zeltia_SA,Fomento_de_Construcciones_y_Contratas_SA,Bank_of_Ireland_Group_PLC,A2A_SpA,Paysafe_Group_Ltd,PostNL_NV,LPP_SA,Basilea_Pharmaceutica_AG,Darty_Ltd,Nokia_OYJ,Dixons_Retail_Group_Ltd,Pandora_A/S,Valeo_SA,Electricite_de_France_SA,McKesson_Europe_AG,Thomas_Cook_Group_PLC,Jyske_Bank_A/S,United_Internet_AG,TomTom_NV,Bankinter_SA,Wienerberger_AG,Mediaset_Espana_Comunicacion_SA,MorphoSys_AG,Howden_Joinery_Group_PLC,Thales_SA,ACEA_SpA,Regus_PLC,IWG_PLC,Sports_Direct_International_PLC,ITV_PLC,Autogrill_SpA,Duerr_AG,Alpha_Bank_AE,Perrigo_Corp_DAC,Home_Retail_Group_Ltd,International_Consolidated_Airlines_Grou,Nobel_Biocare_Holding_AG.1,Britvic_PLC,Promotora_de_Informaciones_SA,1&1_Drillisch_AG,Aareal_Bank_AG,Seat_Pagine_Gialle_SpA,Kinnevik_AB,0.011587382794787333
2013-11-19,Vestas_Wind_Systems_A/S,Ocado_Group_PLC,Independent_News_&_Media_PLC,Siemens_Gamesa_Renewable_Energy_SA,Alcatel_Lucent_SA,REC_Silicon_ASA,Sacyr_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,PostNL_NV,Eniro_AB,Unipol_Gruppo_Finanziario_SpA,Mediaset_SpA,Genmab_A/S,Unipol_Gruppo_Finanziario_SpA.1,CD_Projekt_SA,Nokia_OYJ,A2A_SpA,Bank_of_Ireland_Group_PLC,Cie_Plastic_Omnium_SA,Thomas_Cook_Group_PLC,MorphoSys_AG,Darty_Ltd,Zeltia_SA,LPP_SA,Paysafe_Group_Ltd,Fomento_de_Construcciones_y_Contratas_SA,Basilea_Pharmaceutica_AG,Peugeot_SA,Alpha_Bank_AE,Dixons_Retail_Group_Ltd,Electricite_de_France_SA,TomTom_NV,AIB_Group_PLC,Pandora_A/S,Valeo_SA,Sports_Direct_International_PLC,Fingerprint_Cards_AB,Thales_SA,Evotec_AG,Faurecia_SA,Singulus_Technologies_AG,McKesson_Europe_AG,ACEA_SpA,Jyske_Bank_A/S,Mediaset_Espana_Comunicacion_SA,KBC_Ancora,Television_Francaise_1,Meyer_Burger_Technology_AG,Bankinter_SA,UnipolSai_Assicurazioni_SpA,Home_Retail_Group_Ltd,Continental_AG,Grafton_Group_PLC.1,Howden_Joinery_Group_PLC,Kinnevik_AB,Promotora_de_Informaciones_SA,ITV_PLC,Nobel_Biocare_Holding_AG.1,Regus_PLC,IWG_PLC,-0.004652383210521273
2013-11-28,Independent_News_&_Media_PLC,Vestas_Wind_Systems_A/S,Ocado_Group_PLC,Siemens_Gamesa_Renewable_Energy_SA,Eniro_AB,Alcatel_Lucent_SA,PostNL_NV,Sacyr_SA,Atresmedia_Corp_de_Medios_de_Comunicacio,Mediaset_SpA,Nokia_OYJ,Unipol_Gruppo_Finanziario_SpA,Alpha_Bank_AE,Thomas_Cook_Group_PLC,Darty_Ltd,A2A_SpA,CD_Projekt_SA,Unipol_Gruppo_Finanziario_SpA.1,ACEA_SpA,Basilea_Pharmaceutica_AG,Cie_Plastic_Omnium_SA,Electricite_de_France_SA,Zeltia_SA,Pandora_A/S,Singulus_Technologies_AG,Paysafe_Group_Ltd,MorphoSys_AG,Premier_Foods_PLC,Fomento_de_Construcciones_y_Contratas_SA,Genmab_A/S,Valeo_SA,1&1_Drillisch_AG,LPP_SA,McKesson_Europe_AG,TomTom_NV,Faurecia_SA,Swedish_Orphan_Biovitrum_AB,AIB_Group_PLC,Peugeot_SA,REC_Silicon_ASA,Sports_Direct_International_PLC,Evotec_AG,Bank_of_Ireland_Group_PLC,Meyer_Burger_Technology_AG,Panalpina_Welttransport_Holding_AG,UnipolSai_Assicurazioni_SpA,KBC_Ancora,Sky_Deutschland_AG,Hellenic_Telecommunications_Organization,Halfords_Group_PLC,Mediaset_Espana_Comunicacion_SA,United_Internet_AG,Lloyds_Banking_Group_PLC,Autogrill_SpA,Società_Cattolica_di_Assicurazioni_SCRL,Grafton_Group_PLC.1,Home_Retail_Group_Ltd,Dixons_Retail_Group_Ltd,Vifor_Pharma_AG.1,Vifor_Pharma_AG,0.015574124748169486
2013-12-09,Independent_News_&_Media_PLC,Vestas_Wind_Systems_A/S,Eniro_AB,Alcatel_Lucent_SA,Sacyr_SA,Siemens_Gamesa_Renewable_Energy_SA,Ocado_Group_PLC,Alpha_Bank_AE,PostNL_NV,Atresmedia_Corp_de_Medios_de_Comunicacio,CD_Projekt_SA,Nokia_OYJ,Mediaset_SpA,Darty_Ltd,Paysafe_Group_Ltd,ACEA_SpA,Reach_PLC,KBC_Ancora,Unipol_Gruppo_Finanziario_SpA,Zeltia_SA,Cie_Plastic_Omnium_SA,Faurecia_SA,MorphoSys_AG,Pandora_A/S,Singulus_Technologies_AG,Electricite_de_France_SA,Fomento_de_Construcciones_y_Contratas_SA,Leoni_AG,Valeo_SA,Public_Power_Corp_SA,A2A_SpA,Sports_Direct_International_PLC,Unipol_Gruppo_Finanziario_SpA.1,Basilea_Pharmaceutica_AG,Genmab_A/S,Peugeot_SA,Meyer_Burger_Technology_AG,1&1_Drillisch_AG,Hellenic_Telecommunications_Organization,Thomas_Cook_Group_PLC,REC_Silicon_ASA,Bankinter_SA,TomTom_NV,CECONOMY_AG,Bank_of_Ireland_Group_PLC,Panalpina_Welttransport_Holding_AG,Titan_Cement_Co_SA,Kinnevik_AB,Sky_Deutschland_AG,United_Internet_AG,McKesson_Europe_AG,Evotec_AG,Algeta_ASA,Continental_AG,Unione_di_Banche_Italiane_S.p.A.,BTG_PLC,Fingerprint_Cards_AB,Logitech_International_SA.1,Logitech_International_SA,Lloyds_Banking_Group_PLC,-0.02143836435571466
2013-12-18,Independent_News_&_Media_PLC,Alcatel_Lucent_SA,Eniro_AB,Vestas_Wind_Systems_A/S,Siemens_Gamesa_Renewable_Energy_SA,Sacyr_SA,PostNL_NV,Atresmedia_Corp_de_Medios_de_Comunicacio,Ocado_Group_PLC,Alpha_Bank_AE,CD_Projekt_SA,Darty_Ltd,Nokia_OYJ,Peugeot_SA,ACEA_SpA,KBC_Ancora,Faurecia_SA,Reach_PLC,Fomento_de_Construcciones_y_Contratas_SA,Mediaset_SpA,Hellenic_Telecommunications_Organization,Public_Power_Corp_SA,Paysafe_Group_Ltd,Cie_Plastic_Omnium_SA,Unipol_Gruppo_Finanziario_SpA,Valeo_SA,Bankinter_SA,Sky_Deutschland_AG,Zeltia_SA,Electricite_de_France_SA,Sports_Direct_International_PLC,Thomas_Cook_Group_PLC,Basilea_Pharmaceutica_AG,Leoni_AG,Marfin_Investment_Group_Holdings_SA,Pandora_A/S,Panalpina_Welttransport_Holding_AG,Evotec_AG,AIB_Group_PLC,REC_Silicon_ASA,Fingerprint_Cards_AB,Bank_of_Ireland_Group_PLC,MorphoSys_AG,Areva_SA,Genmab_A/S,A2A_SpA,Singulus_Technologies_AG,ING_Groep_NV,TomTom_NV,Logitech_International_SA,Logitech_International_SA.1,Unipol_Gruppo_Finanziario_SpA.1,Continental_AG,Unione_di_Banche_Italiane_S.p.A.,Banca_Piccolo_Credito_Valtellinese_Scarl,Lloyds_Banking_Group_PLC,NH_Hotel_Group_SA,NOS_SGPS_SA,OPAP_SA,Titan_Cement_Co_SA,-0.016652327312364025
