Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns
2013-09-20,National Bank of Greece SA,Bankia SA,Banco de Valencia SA,Dexia SA,Piraeus Bank SA,Alpha Bank AE,Punch Taverns Ltd,AIXTRON SE,Nokia OYJ,MorphoSys AG,Singulus Technologies AG,Italcementi SpA,Banca Popolare dell'Emilia Romagna Scrl,Ocado Group PLC,Promotora de Informaciones SA,IVG Immobilien GmbH,Wacker Chemie AG,Peugeot SA,Seat Pagine Gialle SpA,Wienerberger AG,AGFA-Gevaert NV,Petropavlovsk PLC,Mediaset Espana Comunicacion SA,Ablynx NV,Faurecia SA,Bouygues SA,Dialog Semiconductor PLC,Bourbon Corp,REC Silicon ASA,Titan Cement Co SA,TP ICAP PLC,AVEVA Group PLC,EFG International AG,Clariant AG.1,Clariant AG,Air France-KLM,Arnoldo Mondadori Editore SpA,OPAP SA,Suedzucker AG,Premier Foods PLC,Eurofins Scientific SE,Duerr AG,Neste Oyj,Mediaset SpA,McKesson Europe AG,LafargeHolcim Ltd.1,LafargeHolcim Ltd,Jeronimo Martins SGPS SA,RCS MediaGroup SpA,NMC Health PLC,Evraz PLC,Inmobiliaria Colonial Socimi SA,MLP SE,Sonova Holding AG.1,Sonova Holding AG,Faes Farma SA,Eniro AB,Konecranes OYJ,Metsa Board OYJ,Straumann Holding AG,0.03267596393003112
2013-10-01,National Bank of Greece SA,Banco de Valencia SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,Dexia SA,AIXTRON SE,IVG Immobilien GmbH,MorphoSys AG,Ocado Group PLC,Nokia OYJ,Solarworld AG,AGFA-Gevaert NV,Banca Popolare dell'Emilia Romagna Scrl,Italcementi SpA,Singulus Technologies AG,Punch Taverns Ltd,TP ICAP PLC,Petropavlovsk PLC,Arnoldo Mondadori Editore SpA,Promotora de Informaciones SA,Wienerberger AG,RCS MediaGroup SpA,Seat Pagine Gialle SpA,Ablynx NV,AVEVA Group PLC,Mediaset Espana Comunicacion SA,Bourbon Corp,Peugeot SA,CEZ AS,Wacker Chemie AG,Bouygues SA,Eurofins Scientific SE,A2A SpA,Titan Cement Co SA,Sanoma OYJ,OPAP SA,Clariant AG.1,Clariant AG,Duerr AG,Acciona SA,Faurecia SA,McKesson Europe AG,TGS NOPEC Geophysical Co ASA,Neste Oyj,Eurasian Natural Resources Corp Ltd,Johnston Press PLC,NMC Health PLC,Mediaset SpA,Tomra Systems ASA,Inmobiliaria Colonial Socimi SA,Banco Comercial Portugues SA,Evraz PLC,MLP SE,LafargeHolcim Ltd,LafargeHolcim Ltd.1,Unipol Gruppo Finanziario SpA,Air France-KLM,BE Semiconductor Industries NV,ProSiebenSat.1 Media SE,0.00035222772562335355
2013-10-10,National Bank of Greece SA,Banco de Valencia SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,IVG Immobilien GmbH,Dexia SA,Solarworld AG,AIXTRON SE,MorphoSys AG,Nokia OYJ,Ocado Group PLC,AGFA-Gevaert NV,Banca Popolare dell'Emilia Romagna Scrl,Punch Taverns Ltd,TP ICAP PLC,Singulus Technologies AG,Promotora de Informaciones SA,Italcementi SpA,Petropavlovsk PLC,Wienerberger AG,RCS MediaGroup SpA,Peugeot SA,Ablynx NV,AVEVA Group PLC,Arnoldo Mondadori Editore SpA,Mediaset Espana Comunicacion SA,Bourbon Corp,Eurofins Scientific SE,Bouygues SA,Inmobiliaria Colonial Socimi SA,CEZ AS,A2A SpA,TGS NOPEC Geophysical Co ASA,Duerr AG,Wacker Chemie AG,OPAP SA,REC Silicon ASA,Seat Pagine Gialle SpA,Johnston Press PLC,Acciona SA,Clariant AG,Clariant AG.1,Sanoma OYJ,Faurecia SA,NMC Health PLC,NEX Group Ltd,Nex International Ltd,McKesson Europe AG,Evraz PLC,Jeronimo Martins SGPS SA,MLP SE,Eurasian Natural Resources Corp Ltd,Neste Oyj,Titan Cement Co SA,Air France-KLM,Petroleum Geo-Services ASA,LafargeHolcim Ltd,LafargeHolcim Ltd.1,Konecranes OYJ,0.02305163568372101
2013-10-21,National Bank of Greece SA,Banco de Valencia SA,Bankia SA,Piraeus Bank SA,IVG Immobilien GmbH,Alpha Bank AE,AIXTRON SE,MorphoSys AG,Nokia OYJ,Ocado Group PLC,Banca Popolare dell'Emilia Romagna Scrl,AGFA-Gevaert NV,Punch Taverns Ltd,Promotora de Informaciones SA,Solarworld AG,Ablynx NV,TP ICAP PLC,AVEVA Group PLC,Italcementi SpA,Wienerberger AG,Inmobiliaria Colonial Socimi SA,Singulus Technologies AG,Bourbon Corp,Peugeot SA,Arnoldo Mondadori Editore SpA,CEZ AS,TGS NOPEC Geophysical Co ASA,Wacker Chemie AG,Eurofins Scientific SE,Mediaset Espana Comunicacion SA,Bouygues SA,Duerr AG,Clariant AG.1,Clariant AG,Seat Pagine Gialle SpA,Petropavlovsk PLC,Jeronimo Martins SGPS SA,RCS MediaGroup SpA,Acciona SA,Faurecia SA,Banco Comercial Portugues SA,Eniro AB,A2A SpA,BE Semiconductor Industries NV,Eurasian Natural Resources Corp Ltd,NEX Group Ltd,Nex International Ltd,Neste Oyj,AIB Group PLC,Halfords Group PLC,MLP SE,OPAP SA,ProSiebenSat.1 Media SE,Intesa Sanpaolo,Titan Cement Co SA,Meyer Burger Technology AG,LafargeHolcim Ltd.1,LafargeHolcim Ltd,Petroleum Geo-Services ASA,Konecranes OYJ,0.04249451662841178
2013-10-30,National Bank of Greece SA,Banco de Valencia SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,MorphoSys AG,Nokia OYJ,IVG Immobilien GmbH,AIXTRON SE,Ocado Group PLC,AGFA-Gevaert NV,Banca Popolare dell'Emilia Romagna Scrl,Punch Taverns Ltd,RCS MediaGroup SpA,AIB Group PLC,Inmobiliaria Colonial Socimi SA,Ablynx NV,Arnoldo Mondadori Editore SpA,TP ICAP PLC,Eurofins Scientific SE,Arcandor AG,Wienerberger AG,Dexia SA,Solarworld AG,Royal Imtech NV,Promotora de Informaciones SA,Italcementi SpA,TGS NOPEC Geophysical Co ASA,Thomas Cook Group PLC,AVEVA Group PLC,Bourbon Corp,Petropavlovsk PLC,ProSiebenSat.1 Media SE,Santander Bank Polska SA,Duerr AG,CEZ AS,Sky Deutschland AG,OPAP SA,EMS-Chemie Holding AG.1,EMS-Chemie Holding AG,Chemring Group PLC,Meyer Burger Technology AG,Wacker Chemie AG,Faurecia SA,Peugeot SA,Evraz PLC,Hunting PLC,Sanoma OYJ,A2A SpA,Mediaset SpA,Rieter Holding AG,Jeronimo Martins SGPS SA,Bouygues SA,Nex International Ltd,NEX Group Ltd,Getlink SE,EFG International AG,Konecranes OYJ,Metsa Board OYJ,Halfords Group PLC,-0.008873703074608835
2013-11-08,National Bank of Greece SA,Banco de Valencia SA,Bankia SA,Piraeus Bank SA,Alpha Bank AE,MorphoSys AG,Nokia OYJ,Banca Popolare dell'Emilia Romagna Scrl,RCS MediaGroup SpA,AIXTRON SE,AIB Group PLC,AGFA-Gevaert NV,Ocado Group PLC,IVG Immobilien GmbH,Punch Taverns Ltd,Arcandor AG,Wienerberger AG,Dexia SA,TP ICAP PLC,REC Silicon ASA,Eurofins Scientific SE,TGS NOPEC Geophysical Co ASA,Promotora de Informaciones SA,Italcementi SpA,Ablynx NV,Royal Imtech NV,AVEVA Group PLC,Thomas Cook Group PLC,Sky Deutschland AG,ProSiebenSat.1 Media SE,Santander Bank Polska SA,Duerr AG,Bourbon Corp,Solarworld AG,Petropavlovsk PLC,Arnoldo Mondadori Editore SpA,Hunting PLC,Evraz PLC,Eurasian Natural Resources Corp Ltd,CEZ AS,Halfords Group PLC,Jeronimo Martins SGPS SA,Chemring Group PLC,Rieter Holding AG,EFG International AG,MLP SE,EMS-Chemie Holding AG,EMS-Chemie Holding AG.1,Meyer Burger Technology AG,Tomra Systems ASA,NEX Group Ltd,Nex International Ltd,Bouygues SA,Petroleum Geo-Services ASA,Singulus Technologies AG,Getlink SE,Genmab A/S,Air France-KLM,Intrum AB,Mediaset SpA,0.01146891762976434
2013-11-19,National Bank of Greece SA,Banco de Valencia SA,Piraeus Bank SA,Bankia SA,Alpha Bank AE,Dexia SA,Nokia OYJ,RCS MediaGroup SpA,MorphoSys AG,Eurobank Ergasias SA,Ocado Group PLC,Punch Taverns Ltd,Banca Popolare dell'Emilia Romagna Scrl,Wienerberger AG,AIB Group PLC,Inmobiliaria Colonial Socimi SA,Thomas Cook Group PLC,AGFA-Gevaert NV,Italcementi SpA,Ablynx NV,TGS NOPEC Geophysical Co ASA,TP ICAP PLC,AIXTRON SE,Duerr AG,AVEVA Group PLC,Halfords Group PLC,IVG Immobilien GmbH,Sky Deutschland AG,Solarworld AG,Eurofins Scientific SE,Arnoldo Mondadori Editore SpA,Seat Pagine Gialle SpA,Bourbon Corp,Eurasian Natural Resources Corp Ltd,Santander Bank Polska SA,MLP SE,EFG International AG,Meyer Burger Technology AG,Petropavlovsk PLC,REC Silicon ASA,Getlink SE,Arcandor AG,Nex International Ltd,NEX Group Ltd,Hunting PLC,Promotora de Informaciones SA,Evraz PLC,Chemring Group PLC,Konecranes OYJ,CGG SA,Telecom Italia SpA,Rieter Holding AG,Straumann Holding AG,EMS-Chemie Holding AG,EMS-Chemie Holding AG.1,Intrum AB,ProSiebenSat.1 Media SE,BE Semiconductor Industries NV,Solocal Group,CEZ AS,-0.041296355969173755
2013-11-28,National Bank of Greece SA,Piraeus Bank SA,Dexia SA,Bankia SA,Nokia OYJ,Eurobank Ergasias SA,Alpha Bank AE,RCS MediaGroup SpA,MorphoSys AG,Punch Taverns Ltd,Ocado Group PLC,Arcandor AG,AIB Group PLC,Inmobiliaria Colonial Socimi SA,Wienerberger AG,Sky Deutschland AG,AGFA-Gevaert NV,Ablynx NV,Halfords Group PLC,TGS NOPEC Geophysical Co ASA,Banca Popolare dell'Emilia Romagna Scrl,Arnoldo Mondadori Editore SpA,Eurofins Scientific SE,Thomas Cook Group PLC,Italcementi SpA,AIXTRON SE,AVEVA Group PLC,Solocal Group,Mediaset SpA,Santander Bank Polska SA,MLP SE,EFG International AG,TP ICAP PLC,Duerr AG,Getlink SE,Eurasian Natural Resources Corp Ltd,Seat Pagine Gialle SpA,CGG SA,Petropavlovsk PLC,Hibu plc,Independent News & Media PLC,Areva SA,Intrum AB,Promotora de Informaciones SA,Chemring Group PLC,Nex International Ltd,NEX Group Ltd,Jupiter Fund Management PLC,Acciona SA,Ambu A/S,Rieter Holding AG,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,CEZ AS,Straumann Holding AG,Serco Group PLC,EMS-Chemie Holding AG.1,EMS-Chemie Holding AG,Darty Ltd,Metropole Television SA,0.012114674273480395
2013-12-09,National Bank of Greece SA,Piraeus Bank SA,Dexia SA,Bankia SA,Eurobank Ergasias SA,Nokia OYJ,Alpha Bank AE,RCS MediaGroup SpA,MorphoSys AG,Punch Taverns Ltd,Banca Popolare dell'Emilia Romagna Scrl,Inmobiliaria Colonial Socimi SA,Thomas Cook Group PLC,Arcandor AG,AIB Group PLC,Wienerberger AG,Ablynx NV,Sky Deutschland AG,Ocado Group PLC,Solocal Group,TGS NOPEC Geophysical Co ASA,Eurofins Scientific SE,Halfords Group PLC,Promotora de Informaciones SA,AGFA-Gevaert NV,AVEVA Group PLC,NMC Health PLC,TP ICAP PLC,Eurasian Natural Resources Corp Ltd,AIXTRON SE,Mediaset SpA,EFG International AG,Seat Pagine Gialle SpA,Italcementi SpA,MLP SE,Arnoldo Mondadori Editore SpA,CGG SA,Petropavlovsk PLC,Getlink SE,Ambu A/S,Nex International Ltd,NEX Group Ltd,Meyer Burger Technology AG,Independent News & Media PLC,Hibu plc,Serco Group PLC,Duerr AG,Titan Cement Co SA,Metropole Television SA,Sonova Holding AG.1,Sonova Holding AG,Acciona SA,Areva SA,CEZ AS,Jupiter Fund Management PLC,OC Oerlikon Corp AG.1,OC Oerlikon Corp AG,Rieter Holding AG,Smurfit Kappa Group PLC,Chemring Group PLC,-0.032800364594074656
2013-12-18,National Bank of Greece SA,Piraeus Bank SA,Dexia SA,Eurobank Ergasias SA,Alpha Bank AE,Nokia OYJ,RCS MediaGroup SpA,Bankia SA,MorphoSys AG,AIB Group PLC,Thomas Cook Group PLC,Banca Popolare dell'Emilia Romagna Scrl,Punch Taverns Ltd,TGS NOPEC Geophysical Co ASA,Sky Deutschland AG,Wienerberger AG,Eurofins Scientific SE,Ablynx NV,Ocado Group PLC,Eurasian Natural Resources Corp Ltd,Promotora de Informaciones SA,Italcementi SpA,Arnoldo Mondadori Editore SpA,Halfords Group PLC,Arcandor AG,AGFA-Gevaert NV,Inmobiliaria Colonial Socimi SA,Mediaset SpA,AVEVA Group PLC,NMC Health PLC,AIXTRON SE,Solocal Group,EFG International AG,MLP SE,Petroleum Geo-Services ASA,Duerr AG,CGG SA,TP ICAP PLC,Serco Group PLC,Petropavlovsk PLC,Nex International Ltd,NEX Group Ltd,Titan Cement Co SA,Seat Pagine Gialle SpA,CEZ AS,Getlink SE,Smurfit Kappa Group PLC,Ambu A/S,Rieter Holding AG,Acciona SA,Jupiter Fund Management PLC,Sonova Holding AG.1,Sonova Holding AG,Independent News & Media PLC,Temenos AG,Hibu plc,ICADE,Metropole Television SA,EMS-Chemie Holding AG,EMS-Chemie Holding AG.1,-0.014076485299585894
