,Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns,Investment
0,2013-09-20,Banco de Valencia SA,Dexia SA,Banca Popolare dell'Emilia Romagna Scrl,Promotora de Informaciones SA,IVG Immobilien GmbH,Petropavlovsk PLC,Bouygues SA,TP ICAP PLC,Suedzucker AG,NMC Health PLC,Evraz PLC,Inmobiliaria Colonial Socimi SA,Intesa Sanpaolo,CD Projekt SA,Eurasian Natural Resources Corp Ltd,Banco Comercial Portugues SA,Nex International Ltd,NEX Group Ltd,Danone SA,Johnston Press PLC,Fresnillo PLC,Assicurazioni Generali SpA,Vivendi SA,BT Group PLC,Schneider Electric SE,Anheuser-Busch InBev SA/NV,Anglo American PLC,Davide Campari-Milano SpA,Meda AB,Banco Espirito Santo SA,Koninklijke Vopak NV,Banco Santander SA,Banca Popolare di Sondrio SCARL,Tate & Lyle PLC,KAZ Minerals PLC,Tenaris SA,Banca Popolare di Milano Scarl,Unione di Banche Italiane S.p.A.,IWG PLC,Regus PLC,CRH PLC,Antofagasta PLC,Solarworld AG,Polymetal International PLC,Sanofi,Veolia Environnement SA,NH Hotel Group SA,Carrefour SA,Oxurion NV,Mediolanum SpA,Lonmin PLC,Fiat Industrial SpA,Diageo PLC,Danske Bank A/S,Kudelski SA,L'Oreal SA,Nexans SA,DiaSorin SpA,G4S PLC,EXOR NV,0.022009631650213645,100.0
1,2013-10-01,Banco de Valencia SA,Dexia SA,IVG Immobilien GmbH,Solarworld AG,Banca Popolare dell'Emilia Romagna Scrl,TP ICAP PLC,Petropavlovsk PLC,Promotora de Informaciones SA,Bouygues SA,Eurasian Natural Resources Corp Ltd,Johnston Press PLC,NMC Health PLC,Inmobiliaria Colonial Socimi SA,Banco Comercial Portugues SA,Evraz PLC,Intesa Sanpaolo,Nex International Ltd,NEX Group Ltd,Suedzucker AG,Meyer Burger Technology AG,Banco Espirito Santo SA,BT Group PLC,Danone SA,CD Projekt SA,Anglo American PLC,Lonmin PLC,Schneider Electric SE,Anheuser-Busch InBev SA/NV,Fresnillo PLC,Assicurazioni Generali SpA,Vivendi SA,Banca Popolare di Sondrio SCARL,Tate & Lyle PLC,Fiat Industrial SpA,Banco Santander SA,Regus PLC,IWG PLC,Meda AB,KAZ Minerals PLC,Danske Bank A/S,Polymetal International PLC,Davide Campari-Milano SpA,Remy Cointreau SA,Tenaris SA,Carrefour SA,G4S PLC,Restaurant Group PLC/The,Sanofi,Antofagasta PLC,CRH PLC,Fiat SpA,Diageo PLC,Unione di Banche Italiane S.p.A.,Koninklijke Vopak NV,Lloyds Banking Group PLC,NH Hotel Group SA,Lundin Petroleum AB,Banca Popolare di Milano Scarl,Kudelski SA,BNP Paribas SA,-0.014267799876963996,98.57
2,2013-10-10,Banco de Valencia SA,IVG Immobilien GmbH,Dexia SA,Solarworld AG,Banca Popolare dell'Emilia Romagna Scrl,TP ICAP PLC,Promotora de Informaciones SA,Petropavlovsk PLC,Bouygues SA,Inmobiliaria Colonial Socimi SA,Johnston Press PLC,NMC Health PLC,Nex International Ltd,NEX Group Ltd,Evraz PLC,Eurasian Natural Resources Corp Ltd,Banco Comercial Portugues SA,Intesa Sanpaolo,Suedzucker AG,Meyer Burger Technology AG,CD Projekt SA,BT Group PLC,Banco Espirito Santo SA,Anglo American PLC,Danone SA,Schneider Electric SE,Polymetal International PLC,Assicurazioni Generali SpA,Lonmin PLC,Anheuser-Busch InBev SA/NV,Fiat Industrial SpA,Tate & Lyle PLC,Banca Popolare di Sondrio SCARL,Telecom Italia SpA,Vivendi SA,Banco Santander SA,KAZ Minerals PLC,Meda AB,Tenaris SA,IWG PLC,Regus PLC,Davide Campari-Milano SpA,Fresnillo PLC,Danske Bank A/S,Antofagasta PLC,Carrefour SA,Restaurant Group PLC/The,CRH PLC,G4S PLC,Remy Cointreau SA,Diageo PLC,Telecom Italia Media SpA,BNP Paribas SA,Sanofi,Lundin Petroleum AB,EXOR NV,Nexans SA,RSA Insurance Group PLC,Banca Popolare di Milano Scarl,Direct Line Insurance Group PLC,0.00444006139245934,99.01
3,2013-10-21,Banco de Valencia SA,IVG Immobilien GmbH,Banca Popolare dell'Emilia Romagna Scrl,Promotora de Informaciones SA,Solarworld AG,TP ICAP PLC,Inmobiliaria Colonial Socimi SA,Bouygues SA,Petropavlovsk PLC,Banco Comercial Portugues SA,Eurasian Natural Resources Corp Ltd,NEX Group Ltd,Nex International Ltd,Intesa Sanpaolo,Meyer Burger Technology AG,NMC Health PLC,Banco Espirito Santo SA,Telecom Italia SpA,Evraz PLC,Johnston Press PLC,Dexia SA,BT Group PLC,Suedzucker AG,Schneider Electric SE,Assicurazioni Generali SpA,Danone SA,Vivendi SA,CD Projekt SA,Anheuser-Busch InBev SA/NV,Banco Santander SA,Fiat Industrial SpA,Banca Popolare di Sondrio SCARL,Tate & Lyle PLC,Carrefour SA,Banca Popolare di Milano Scarl,Regus PLC,IWG PLC,Davide Campari-Milano SpA,Anglo American PLC,Lonmin PLC,Danske Bank A/S,EXOR NV,Banco BPI SA,Telecom Italia Media SpA,Meda AB,BNP Paribas SA,Tenaris SA,Unione di Banche Italiane S.p.A.,Remy Cointreau SA,CRH PLC,Restaurant Group PLC/The,G4S PLC,Fiat SpA,RSA Insurance Group PLC,Polymetal International PLC,Sanofi,Direct Line Insurance Group PLC,Bureau Veritas SA,Lloyds Banking Group PLC,Britvic PLC,0.0381404349271266,102.79
4,2013-10-30,Banco de Valencia SA,IVG Immobilien GmbH,Banca Popolare dell'Emilia Romagna Scrl,Inmobiliaria Colonial Socimi SA,TP ICAP PLC,Solarworld AG,Promotora de Informaciones SA,Petropavlovsk PLC,Chemring Group PLC,Meyer Burger Technology AG,Evraz PLC,Bouygues SA,Nex International Ltd,NEX Group Ltd,Eurasian Natural Resources Corp Ltd,Johnston Press PLC,NMC Health PLC,Intesa Sanpaolo,Danone SA,Suedzucker AG,CD Projekt SA,Polymetal International PLC,Telecom Italia SpA,Schneider Electric SE,BT Group PLC,Anheuser-Busch InBev SA/NV,Davide Campari-Milano SpA,Regus PLC,IWG PLC,Banco Santander SA,Tate & Lyle PLC,Carrefour SA,Banca Popolare di Sondrio SCARL,Vivendi SA,Assicurazioni Generali SpA,Banco Comercial Portugues SA,Banco Espirito Santo SA,Fiat Industrial SpA,RSA Insurance Group PLC,Fingerprint Cards AB,Restaurant Group PLC/The,EXOR NV,BAE Systems PLC,Antofagasta PLC,Fiat SpA,Anglo American PLC,CRH PLC,Remy Cointreau SA,Direct Line Insurance Group PLC,Swedish Match AB,Lonmin PLC,Orange SA,BNP Paribas SA,Lloyds Banking Group PLC,Polyus Gold International Ltd,G4S PLC,Bankinter SA,Fresnillo PLC,Deutsche Postbank AG,Veolia Environnement SA,-0.006773113665271475,102.09
5,2013-11-08,Banco de Valencia SA,Banca Popolare dell'Emilia Romagna Scrl,IVG Immobilien GmbH,TP ICAP PLC,Promotora de Informaciones SA,Solarworld AG,Petropavlovsk PLC,Evraz PLC,Eurasian Natural Resources Corp Ltd,Chemring Group PLC,Meyer Burger Technology AG,Nex International Ltd,NEX Group Ltd,Bouygues SA,Telecom Italia SpA,Inmobiliaria Colonial Socimi SA,Danone SA,Intesa Sanpaolo,Polymetal International PLC,Anheuser-Busch InBev SA/NV,Johnston Press PLC,NMC Health PLC,CD Projekt SA,Schneider Electric SE,BT Group PLC,Fingerprint Cards AB,Banca Popolare di Sondrio SCARL,Davide Campari-Milano SpA,Suedzucker AG,EXOR NV,Banco Comercial Portugues SA,Banco Espirito Santo SA,Banco Santander SA,Vivendi SA,Antofagasta PLC,Assicurazioni Generali SpA,IWG PLC,Regus PLC,Fiat Industrial SpA,Tate & Lyle PLC,Fiat SpA,Nexans SA,Anglo American PLC,Lonmin PLC,KAZ Minerals PLC,BAE Systems PLC,Carrefour SA,CRH PLC,BNP Paribas SA,Tele2 AB,Bankinter SA,Orange SA,Restaurant Group PLC/The,RSA Insurance Group PLC,Independent News & Media PLC,Fresnillo PLC,Remy Cointreau SA,Banca Popolare di Milano Scarl,Meda AB,Seat Pagine Gialle SpA,0.011761962192810964,103.29
6,2013-11-19,Banco de Valencia SA,Banca Popolare dell'Emilia Romagna Scrl,Inmobiliaria Colonial Socimi SA,TP ICAP PLC,IVG Immobilien GmbH,Solarworld AG,Seat Pagine Gialle SpA,Eurasian Natural Resources Corp Ltd,Meyer Burger Technology AG,Petropavlovsk PLC,NEX Group Ltd,Nex International Ltd,Promotora de Informaciones SA,Evraz PLC,Chemring Group PLC,Telecom Italia SpA,Banco Espirito Santo SA,Anheuser-Busch InBev SA/NV,Regus PLC,IWG PLC,EXOR NV,Intesa Sanpaolo,Danone SA,NMC Health PLC,CD Projekt SA,Suedzucker AG,Fiat Industrial SpA,Davide Campari-Milano SpA,BT Group PLC,Banco Comercial Portugues SA,Fiat SpA,Banca Popolare di Milano Scarl,Assicurazioni Generali SpA,Banco BPI SA,Banca Popolare di Sondrio SCARL,Tate & Lyle PLC,Banco Santander SA,Bankinter SA,Lonmin PLC,Nexans SA,Vivendi SA,Polymetal International PLC,Schneider Electric SE,Meda AB,Anglo American PLC,Kabel Deutschland Holding AG,Remy Cointreau SA,Unione di Banche Italiane S.p.A.,Antofagasta PLC,Independent News & Media PLC,Bouygues SA,Bureau Veritas SA,CRH PLC,Fingerprint Cards AB,Mediolanum SpA,Johnston Press PLC,Fresnillo PLC,Proximus SADP,Heineken NV,GRENKE AG,-0.011049340680274307,102.15
7,2013-11-28,Inmobiliaria Colonial Socimi SA,Banca Popolare dell'Emilia Romagna Scrl,TP ICAP PLC,Eurasian Natural Resources Corp Ltd,Seat Pagine Gialle SpA,Petropavlovsk PLC,Independent News & Media PLC,Promotora de Informaciones SA,Chemring Group PLC,Nex International Ltd,NEX Group Ltd,Anheuser-Busch InBev SA/NV,Intesa Sanpaolo,EXOR NV,NMC Health PLC,Meyer Burger Technology AG,Solarworld AG,Telecom Italia SpA,Danone SA,Banco Espirito Santo SA,Evraz PLC,IWG PLC,Regus PLC,BT Group PLC,CD Projekt SA,Meda AB,Davide Campari-Milano SpA,Kabel Deutschland Holding AG,Fingerprint Cards AB,Polymetal International PLC,Bouygues SA,Fiat SpA,Tate & Lyle PLC,Suedzucker AG,Assicurazioni Generali SpA,Fiat Industrial SpA,Lonmin PLC,Banco BPI SA,Bankinter SA,Nexans SA,Bureau Veritas SA,Remy Cointreau SA,Heineken NV,G4S PLC,Schneider Electric SE,Commerzbank AG,Rank Group PLC,Fresnillo PLC,Banco Santander SA,Bank of Ireland Group PLC,Banco Comercial Portugues SA,Banca Popolare di Milano Scarl,Vodafone Group PLC,Swedish Match AB,Unione di Banche Italiane S.p.A.,Carrefour SA,GRENKE AG,Firstgroup PLC,Anglo American PLC,Johnston Press PLC,0.0015371338108958609,102.31
8,2013-12-09,Banca Popolare dell'Emilia Romagna Scrl,Inmobiliaria Colonial Socimi SA,Promotora de Informaciones SA,NMC Health PLC,TP ICAP PLC,Eurasian Natural Resources Corp Ltd,Seat Pagine Gialle SpA,Petropavlovsk PLC,NEX Group Ltd,Nex International Ltd,Meyer Burger Technology AG,Independent News & Media PLC,Chemring Group PLC,EXOR NV,Anheuser-Busch InBev SA/NV,Telecom Italia SpA,Intesa Sanpaolo,Banco Espirito Santo SA,Lonmin PLC,Evraz PLC,IWG PLC,Regus PLC,Marfin Investment Group Holdings SA,CD Projekt SA,Danone SA,Fiat SpA,Bouygues SA,Meda AB,Polymetal International PLC,Davide Campari-Milano SpA,BT Group PLC,Anglo American PLC,Banca Popolare di Milano Scarl,Suedzucker AG,Fresnillo PLC,Solarworld AG,Bankinter SA,Banco Santander SA,Banco Comercial Portugues SA,Kabel Deutschland Holding AG,Nexans SA,Bureau Veritas SA,Remy Cointreau SA,Heineken NV,Commerzbank AG,Schneider Electric SE,Fiat Industrial SpA,Assicurazioni Generali SpA,Unione di Banche Italiane S.p.A.,Firstgroup PLC,Tate & Lyle PLC,Tele2 AB,GRENKE AG,Swedish Match AB,G4S PLC,Fingerprint Cards AB,Proximus SADP,Rank Group PLC,Associated British Foods PLC,Banca Popolare di Sondrio SCARL,-0.02871205804084618,99.37
9,2013-12-18,Banca Popolare dell'Emilia Romagna Scrl,Eurasian Natural Resources Corp Ltd,Promotora de Informaciones SA,Inmobiliaria Colonial Socimi SA,NMC Health PLC,TP ICAP PLC,Petropavlovsk PLC,Nex International Ltd,NEX Group Ltd,Seat Pagine Gialle SpA,Independent News & Media PLC,Meyer Burger Technology AG,EXOR NV,Anheuser-Busch InBev SA/NV,Solarworld AG,Chemring Group PLC,Intesa Sanpaolo,Telecom Italia SpA,Evraz PLC,CD Projekt SA,Lonmin PLC,Danone SA,Anglo American PLC,Nexans SA,Davide Campari-Milano SpA,IWG PLC,Regus PLC,Polymetal International PLC,Suedzucker AG,Marfin Investment Group Holdings SA,Meda AB,Banco Espirito Santo SA,Fiat SpA,Firstgroup PLC,Bouygues SA,Remy Cointreau SA,Banca Popolare di Milano Scarl,IVG Immobilien GmbH,Banca Popolare di Sondrio SCARL,BT Group PLC,Fresnillo PLC,Banco Santander SA,Kabel Deutschland Holding AG,Antofagasta PLC,Commerzbank AG,Banco Comercial Portugues SA,Fiat Industrial SpA,Unione di Banche Italiane S.p.A.,OP Corporate Bank plc,Bureau Veritas SA,Schneider Electric SE,Heineken NV,Assicurazioni Generali SpA,Swedish Match AB,G4S PLC,Bankinter SA,Telecom Italia Media SpA,Tate & Lyle PLC,Vodafone Group PLC,Banco BPI SA,-0.010946061317640098,98.28
