Date,Title,alpha,alpha_significance,beta,absolute_returns,specific_risk,systematic_risk,r2
2013-09-20,Jarvis PLC,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Rodamco Europe NV/Netherlands,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Hanson Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Exel Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Expro International Group Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Corus Group Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Babcock Southern Holdings Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,George Wimpey Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Granada Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Alleanza Toro SpA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Technicolor SA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Prosafe Production Public Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Group 4 Falck A/S,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Iberdrola Renovables SA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,APRR SA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Dana Petroleum Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Inmobiliaria Colonial SA/Old,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Altana AG,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Neuf Cegetel SA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Union Fenosa SA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,bwin Interactive Entertainment AG,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Wella AG,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Tele Atlas Survey BV,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Cie Nationale a Portefeuille/Old,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Banca Lombarda e Piemontese SpA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Safeway Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Almanij NV,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Ascential Group Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Klakki EHF,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Alstom SA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Bradford & Bingley PLC,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Friends Life FPG Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Banca Popolare di Lodi SpA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,WH Smith PLC/Old,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,EDF Energy Nuclear Generation Group Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Wanadoo SA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Synthes Inc.1,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,AWG Parent Co Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Bostads AB Drott,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,DEPFA Bank PLC,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,SCOR SE,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Invesco Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,BKW Energie AG,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Nasdaq AB,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,DEPFA Bank PLC.1,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,iSOFT Group UK Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Banca Popolare Commercio e Industria SpA,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Corporate Express NV,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,UniCredit Bank AG,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Centrica Production Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Viridian Group Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Industriforvaltnings AB Kinnevik,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Laser Holdings Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Gambro AB,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Canary Wharf Group PLC,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Chilcott UK Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Thomson Reuters UK Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Banca Popolare di Verona - S.Geminiano e,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Alapis Holding Industrial & Commercial S,0.0,,0.0,0.0,0.0,0.0,
2013-09-20,Manitowoc Group UK Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Royal P&O Nedlloyd NV,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,La Fondiaria Assicurazioni SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Charter International Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Matalan Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Jarvis PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,BIP Industries Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Wilson Bowden Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Selfridges & Co Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Banca Italease SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Banca Popolare di Verona - S.Geminiano e,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Immoeast AG,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Terra Networks SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Global PVQ SE,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Finastra Group Holdings Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,ArcelorMittal.1,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Thomson Reuters UK Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,IFIL - Investments SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Omega Pharma NV,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,RHM Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Stork BV/Old,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Rodamco Europe NV/Netherlands,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Hanson Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Exel Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,EMI Group Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Alliance UniChem PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Banco Pastor SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Benetton Group SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Boehler-Uddeholm AG,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Koninklijke Volker Wessels Stevin NV,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Granada Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Fadesa Inmobiliaria SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Alleanza Toro SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Technicolor SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Burren Energy PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Equant NV,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,ISS World Services A/S,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Imperial Chemical Industries Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Invesco Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Solvay France SA.1,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,RAC Group Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Grupo Ferrovial SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Debenhams PLC/Old,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Autonomy Corp Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Celltech Group Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Edison SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Tele Atlas Survey BV,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Cie Nationale a Portefeuille/Old,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Klakki EHF,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Neuf Cegetel SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Novar Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Alliance & Leicester Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Bulgari SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Allianz SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,First Choice Holidays PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Global Radio Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Carphone Warehouse Group PLC\Old,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,CEMEX Investments Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Biffa PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Cia Espanola de Petroleos SAU,0.0,,0.0,0.0,0.0,0.0,
2013-10-01,Landmark Mortgages Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Fabege AB/Old,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Kaupthing ehf,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Ciba Holding AG,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Omega Pharma NV,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Orange Holding SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Biffa PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Koninklijke Volker Wessels Stevin NV,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Kering Holland NV,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Carphone Warehouse Group PLC\Old,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,IFIL - Investments SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Landmark Mortgages Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Benetton Group SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,ArcelorMittal.1,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Global PVQ SE,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Immoeast AG,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Imperial Chemical Industries Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Allianz SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Equant NV,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Banca Italease SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Wilson Bowden Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Danone Baby and Medical Nutrition BV,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Epcos AG,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Des Galeries Lafayette SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Charter International Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Banca Popolare di Verona - S.Geminiano e,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Thomson Reuters UK Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Instrumentarium OYJ,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,SCOR Holding Switzerland AG,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Luminar Group Holdings PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Allianz France SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Glitnir HoldCo ehf,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Selfridges & Co Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Petroplus Holdings AG,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Banca Nazionale del Lavoro SpA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Industriforvaltnings AB Kinnevik,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Scottish & Newcastle Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,GE Healthcare Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,D/S 1912,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Telefonica Europe PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Nielsen Co BV/The,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Expro International Group Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Arcelor SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,International Power Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Neuf Cegetel SA,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Canary Wharf Group PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,HMV Group PLC,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Alliance & Leicester Ltd,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Klakki EHF,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Rexel SA/Old,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Cie Nationale a Portefeuille/Old,0.0,,0.0,0.0,0.0,0.0,
2013-10-10,Autonomy Corp Ltd,0.0,,0.0,0.0,0.0,0.0,
