Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns
2013-09-20,Jarvis PLC,Rodamco Europe NV/Netherlands,Hanson Ltd,Exel Ltd,Expro International Group Ltd,Corus Group Ltd,Babcock Southern Holdings Ltd,George Wimpey Ltd,Granada Ltd,Alleanza Toro SpA,Technicolor SA,Prosafe Production Public Ltd,Group 4 Falck A/S,Iberdrola Renovables SA,APRR SA,Dana Petroleum Ltd,Inmobiliaria Colonial SA/Old,Altana AG,Neuf Cegetel SA,Union Fenosa SA,bwin Interactive Entertainment AG,Wella AG,Tele Atlas Survey BV,Cie Nationale a Portefeuille/Old,Banca Lombarda e Piemontese SpA,Safeway Ltd,Almanij NV,Ascential Group Ltd,Klakki EHF,Alstom SA,Bradford & Bingley PLC,Friends Life FPG Ltd,Banca Popolare di Lodi SpA,WH Smith PLC/Old,EDF Energy Nuclear Generation Group Ltd,Wanadoo SA,Synthes Inc.1,AWG Parent Co Ltd,Bostads AB Drott,DEPFA Bank PLC,SCOR SE,Invesco Ltd,BKW Energie AG,Nasdaq AB,DEPFA Bank PLC.1,iSOFT Group UK Ltd,Banca Popolare Commercio e Industria SpA,Corporate Express NV,UniCredit Bank AG,Centrica Production Ltd,Viridian Group Ltd,Industriforvaltnings AB Kinnevik,Laser Holdings Ltd,Gambro AB,Canary Wharf Group PLC,Chilcott UK Ltd,Thomson Reuters UK Ltd,Banca Popolare di Verona - S.Geminiano e,Alapis Holding Industrial & Commercial S,Manitowoc Group UK Ltd,
2013-10-01,Royal P&O Nedlloyd NV,La Fondiaria Assicurazioni SpA,Charter International Ltd,Matalan Ltd,Jarvis PLC,BIP Industries Ltd,Wilson Bowden Ltd,Selfridges & Co Ltd,Banca Italease SpA,Banca Popolare di Verona - S.Geminiano e,Immoeast AG,Terra Networks SA,Global PVQ SE,Finastra Group Holdings Ltd,ArcelorMittal.1,Thomson Reuters UK Ltd,IFIL - Investments SpA,Omega Pharma NV,RHM Ltd,Stork BV/Old,Rodamco Europe NV/Netherlands,Hanson Ltd,Exel Ltd,EMI Group Ltd,Alliance UniChem PLC,Banco Pastor SA,Benetton Group SpA,Boehler-Uddeholm AG,Koninklijke Volker Wessels Stevin NV,Granada Ltd,Fadesa Inmobiliaria SA,Alleanza Toro SpA,Technicolor SA,Burren Energy PLC,Equant NV,ISS World Services A/S,Imperial Chemical Industries Ltd,Invesco Ltd,Solvay France SA.1,RAC Group Ltd,Grupo Ferrovial SA,Debenhams PLC/Old,Autonomy Corp Ltd,Celltech Group Ltd,Edison SpA,Tele Atlas Survey BV,Cie Nationale a Portefeuille/Old,Klakki EHF,Neuf Cegetel SA,Novar Ltd,Alliance & Leicester Ltd,Bulgari SpA,Allianz SpA,First Choice Holidays PLC,Global Radio Ltd,Carphone Warehouse Group PLC\Old,CEMEX Investments Ltd,Biffa PLC,Cia Espanola de Petroleos SAU,Landmark Mortgages Ltd,
2013-10-10,Fabege AB/Old,Kaupthing ehf,Ciba Holding AG,Omega Pharma NV,Orange Holding SA,Biffa PLC,Koninklijke Volker Wessels Stevin NV,Kering Holland NV,Carphone Warehouse Group PLC\Old,IFIL - Investments SpA,Landmark Mortgages Ltd,Benetton Group SpA,ArcelorMittal.1,Global PVQ SE,Immoeast AG,Imperial Chemical Industries Ltd,Allianz SpA,Equant NV,Banca Italease SpA,Wilson Bowden Ltd,Danone Baby and Medical Nutrition BV,Epcos AG,Des Galeries Lafayette SA,Charter International Ltd,Banca Popolare di Verona - S.Geminiano e,Thomson Reuters UK Ltd,Instrumentarium OYJ,SCOR Holding Switzerland AG,Luminar Group Holdings PLC,Allianz France SA,Glitnir HoldCo ehf,Selfridges & Co Ltd,Petroplus Holdings AG,Banca Nazionale del Lavoro SpA,Industriforvaltnings AB Kinnevik,Scottish & Newcastle Ltd,GE Healthcare Ltd,D/S 1912,Telefonica Europe PLC,Nielsen Co BV/The,Expro International Group Ltd,Arcelor SA,International Power Ltd,Neuf Cegetel SA,Canary Wharf Group PLC,HMV Group PLC,Alliance & Leicester Ltd,Klakki EHF,Rexel SA/Old,Cie Nationale a Portefeuille/Old,Autonomy Corp Ltd,DuPont Nutrition Biosciences ApS,UniCredit Bank AG,Gjensidige NOR ASA,Solvay France SA.1,First Choice Holidays PLC,La Fondiaria Assicurazioni SpA,Schwarz Pharma AG,BPB Ltd,Peninsular & Oriental Steam Navigation C,
2013-10-21,Epcos AG,Omega Pharma NV,Rio Tinto France SAS,Koninklijke Volker Wessels Stevin NV,Kelda Group Ltd,Benetton Group SpA,Euronext NV,Equant NV,Skandia Forsakrings AB,Des Galeries Lafayette SA,Luminar Group Holdings PLC,Rexel SA/Old,Prisa Television SAU,Getronics BV,Amadeus IT Group SA/Spain,Union Fenosa SA,Brit Insurance Holdings BV,Tullett Prebon Group Holdings PLC,Selfridges & Co Ltd,Merck Serono SA,La Fondiaria Assicurazioni SpA,Italgas Hellas SpA,Grupo Dragados SA,Woolworths Group PLC,Buderus AG,SIG Combibloc Group AG,Irish Bank Resolution Corp Ltd/Old,Tandberg AS,Banca Popolare di Bergamo SpA,British Land Fund Management Ltd,Banca Lombarda e Piemontese SpA,Gates Worldwide Ltd,Novar Ltd,Bulgari SpA,RAC Group Ltd,Global Radio Ltd,Finaxa,Jarvis PLC,Matalan Ltd,HMV Group PLC,Brixton Ltd,Fineco SpA,Safeway Ltd,Ascential Group Ltd,SCOR SE,AWG Parent Co Ltd,DEPFA Bank PLC.1,Ainax AB,eircom Group Ltd,Safran UK Ltd,Thomson Reuters UK Ltd,Banca Popolare di Verona - S.Geminiano e,Synthes Inc.1,Allianz SpA,Imperial Chemical Industries Ltd,EDF Energy Nuclear Generation Group Ltd,APRR SA,Landmark Mortgages Ltd,Kering Holland NV,Inmobiliaria Colonial SA/Old,
2013-10-30,Epcos AG,Prisa Television SAU,Getronics BV,Amadeus IT Group SA/Spain,Italgas Hellas SpA,Brit Insurance Holdings BV,Merck Serono SA,Tullett Prebon Group Holdings PLC,Rio Tinto France SAS,Rexel SA/Old,Kelda Group Ltd,Euronext NV,Skandia Forsakrings AB,Telent Ltd,Cosmote Mobile Telecommunications SA,Somerfield Ltd,Northumbrian Water Group Ltd,Hypo Real Estate Holding GmbH,UniCredit Bank Austria AG,Edison SpA,Luminar Group Holdings PLC,Des Galeries Lafayette SA,Equant NV,Banca Antonveneta SpA/Old,Telefonica Moviles SA/Spain,Capitalia SpA,Associated British Ports Holdings Ltd,RAC Group Ltd,Global Radio Ltd,Finaxa,Jarvis PLC,Matalan Ltd,Grupo Dragados SA,HMV Group PLC,La Fondiaria Assicurazioni SpA,Irish Bank Resolution Corp Ltd/Old,Selfridges & Co Ltd,Banca Popolare di Bergamo SpA,Omega Pharma NV,Gates Worldwide Ltd,Koninklijke Volker Wessels Stevin NV,Benetton Group SpA,Fastweb SpA,Bulgari SpA,Industriforvaltnings AB Kinnevik,Corporate Express NV,Alleanza Toro SpA,Technicolor SA,Inmobiliaria Colonial SA/Old,bwin Interactive Entertainment AG,Royal P&O Nedlloyd NV,Invik & Co AB,Stork BV/Old,Thomson Reuters UK Ltd,Chubb PLC,Banca Popolare di Verona - S.Geminiano e,Boehler-Uddeholm AG,Fadesa Inmobiliaria SA,RHM Ltd,Allianz SpA,
2013-11-08,Epcos AG,Edison SpA,Telent Ltd,Cosmote Mobile Telecommunications SA,Somerfield Ltd,Northumbrian Water Group Ltd,Hypo Real Estate Holding GmbH,Grupo Dragados SA,UniCredit Bank Austria AG,Fastweb SpA,Industriforvaltnings AB Kinnevik,Irish Bank Resolution Corp Ltd/Old,Corporate Express NV,Banca Popolare di Bergamo SpA,Laser Holdings Ltd,Gates Worldwide Ltd,iSOFT Group UK Ltd,Nasdaq AB,SCOR SE,Bostads AB Drott,Associated British Ports Holdings Ltd,DEPFA Bank PLC.1,Capitalia SpA,Banca Antonveneta SpA/Old,Peninsular & Oriental Steam Navigation C,Evonik Degussa GmbH,Des Galeries Lafayette SA,Logica Ltd,Banca Nazionale del Lavoro SpA,Luminar Group Holdings PLC,Danone Baby and Medical Nutrition BV,Rexel SA/Old,Prisa Television SAU,Instrumentarium OYJ,SCOR Holding Switzerland AG,Getronics BV,Amadeus IT Group SA/Spain,Allianz France SA,Autoroutes du Sud de la France SA,Brit Insurance Holdings BV,Zimmer Schweiz Holdings GmbH,Tullett Prebon Group Holdings PLC,Synthes Inc,Telefonica Moviles SA/Spain,BPB Ltd,Italgas Hellas SpA,Merck Serono SA,Hanson Ltd,Exel Ltd,Burren Energy PLC,Boehler-Uddeholm AG,Fadesa Inmobiliaria SA,RHM Ltd,Granada Ltd,Alleanza Toro SpA,Technicolor SA,Banco Pastor SA,Charter International Ltd,Wilson Bowden Ltd,Banca Italease SpA,
2013-11-19,Epcos AG,Synthes Inc,Laser Holdings Ltd,Banca Antonveneta SpA/Old,Telefonica Moviles SA/Spain,Capitalia SpA,Associated British Ports Holdings Ltd,iSOFT Group UK Ltd,Nasdaq AB,SCOR SE,Corporate Express NV,Bostads AB Drott,DEPFA Bank PLC.1,Ainax AB,eircom Group Ltd,Irish Bank Resolution Corp Ltd/Old,Safran UK Ltd,Banca Popolare di Bergamo SpA,Synthes Inc.1,Gates Worldwide Ltd,EDF Energy Nuclear Generation Group Ltd,Grupo Dragados SA,APRR SA,Zimmer Schweiz Holdings GmbH,Fastweb SpA,DuPont Nutrition Biosciences ApS,Gjensidige NOR ASA,BPB Ltd,Peninsular & Oriental Steam Navigation C,Evonik Degussa GmbH,Tullett Prebon Group Holdings PLC,Logica Ltd,Banca Nazionale del Lavoro SpA,Edison SpA,Industriforvaltnings AB Kinnevik,Danone Baby and Medical Nutrition BV,Cosmote Mobile Telecommunications SA,Instrumentarium OYJ,SCOR Holding Switzerland AG,Somerfield Ltd,Northumbrian Water Group Ltd,Allianz France SA,Hypo Real Estate Holding GmbH,Autoroutes du Sud de la France SA,UniCredit Bank Austria AG,Telent Ltd,Canary Wharf Group PLC,Inmobiliaria Colonial SA/Old,Italgas Hellas SpA,Global PVQ SE,Altana AG,ArcelorMittal.1,Rodamco Europe NV/Netherlands,Hanson Ltd,Exel Ltd,IFIL - Investments SpA,Unibail-Rodamco SE,Carphone Warehouse Group PLC\Old,Immoeast AG,Biffa PLC,
2013-11-28,Epcos AG,Brit Insurance Holdings BV,Irish Bank Resolution Corp Ltd/Old,Banca Popolare di Bergamo SpA,Tullett Prebon Group Holdings PLC,Gates Worldwide Ltd,Banco de Valencia SA,Edison SpA,Telent Ltd,Amadeus IT Group SA/Spain,Cosmote Mobile Telecommunications SA,Italgas Hellas SpA,Northumbrian Water Group Ltd,Hypo Real Estate Holding GmbH,Merck Serono SA,UniCredit Bank Austria AG,Rio Tinto France SAS,Fastweb SpA,Kelda Group Ltd,Somerfield Ltd,Grupo Dragados SA,Getronics BV,Prisa Television SAU,La Fondiaria Assicurazioni SpA,Instrumentarium OYJ,SCOR Holding Switzerland AG,Selfridges & Co Ltd,Omega Pharma NV,Allianz France SA,Autoroutes du Sud de la France SA,Koninklijke Volker Wessels Stevin NV,Benetton Group SpA,Zimmer Schweiz Holdings GmbH,Equant NV,Synthes Inc,Des Galeries Lafayette SA,Banca Antonveneta SpA/Old,Telefonica Moviles SA/Spain,Capitalia SpA,Associated British Ports Holdings Ltd,Luminar Group Holdings PLC,Rexel SA/Old,Industriforvaltnings AB Kinnevik,HMV Group PLC,Euronext NV,Corporate Express NV,Inmobiliaria Colonial SA/Old,Unibail-Rodamco SE,bwin Interactive Entertainment AG,Granada Ltd,Royal P&O Nedlloyd NV,Alleanza Toro SpA,Technicolor SA,Invik & Co AB,Exel Ltd,Stork BV/Old,Boehler-Uddeholm AG,Thomson Reuters UK Ltd,Banca Popolare di Verona - S.Geminiano e,Fadesa Inmobiliaria SA,
2013-12-09,Epcos AG,Friends Life FPG Ltd,Aurea Concesiones de Infraestructuras SA,Fineco SpA,Altana AG,Woolworths Group PLC,Buderus AG,SIG Combibloc Group AG,Bradford & Bingley PLC,Rodamco Europe NV/Netherlands,Exel Ltd,Tandberg AS,British Land Fund Management Ltd,Unibail-Rodamco SE,Brixton Ltd,Novar Ltd,Bulgari SpA,Hanson Ltd,RAC Group Ltd,Iaws Group Ltd,Ascential Group Ltd,Brush Holdings Ltd,Skandia Forsakrings AB,Vita Group UnLtd,Duelguide Holdings Ltd,Iberia Lineas Aereas de Espana SA Operad,Centros Comerciales Carrefour SA,First Active PLC,Van der Moolen Holding NV,Vodafone Portugal-Comunicacoes Pessoais,SSL International PLC,Celanese GmbH,Banca Lombarda e Piemontese SpA,Safeway Ltd,Fresenius SE & Co KGaA,Rexel Holding Netherlands BV,Almanij NV,Union Fenosa SA,Euronext NV,Granada Ltd,Technicolor SA,Amadeus IT Group SA/Spain,Landmark Mortgages Ltd,Brit Insurance Holdings BV,Terra Networks SA,Tullett Prebon Group Holdings PLC,Banco de Valencia SA,Orange Holding SA,Getronics BV,Ciba Holding AG,Telent Ltd,Cosmote Mobile Telecommunications SA,Somerfield Ltd,Northumbrian Water Group Ltd,Hypo Real Estate Holding GmbH,Invesco Ltd,UniCredit Bank Austria AG,Edison SpA,Alleanza Toro SpA,Imperial Chemical Industries Ltd,
2013-12-18,Epcos AG,Safeway Ltd,British Land Fund Management Ltd,Brixton Ltd,Almanij NV,Ascential Group Ltd,Novar Ltd,Bradford & Bingley PLC,Banca Lombarda e Piemontese SpA,Friends Life FPG Ltd,RAC Group Ltd,Global Radio Ltd,Altana AG,Finaxa,Jarvis PLC,Matalan Ltd,Rodamco Europe NV/Netherlands,Bulgari SpA,Tandberg AS,SIG Combibloc Group AG,Union Fenosa SA,First Active PLC,Merck Serono SA,Vodafone Portugal-Comunicacoes Pessoais,Rio Tinto France SAS,SSL International PLC,Kelda Group Ltd,Celanese GmbH,Euronext NV,Fresenius SE & Co KGaA,Skandia Forsakrings AB,Rexel Holding Netherlands BV,Van der Moolen Holding NV,Iaws Group Ltd,Aurea Concesiones de Infraestructuras SA,Fineco SpA,Woolworths Group PLC,Buderus AG,Hanson Ltd,Centros Comerciales Carrefour SA,Exel Ltd,La Fondiaria Assicurazioni SpA,Imperial Chemical Industries Ltd,Edison SpA,T-Online International AG,Landmark Mortgages Ltd,Telent Ltd,Kering Holland NV,Cosmote Mobile Telecommunications SA,Allianz SpA,Orange Holding SA,Ciba Holding AG,Northumbrian Water Group Ltd,Hypo Real Estate Holding GmbH,UniCredit Bank Austria AG,Fastweb SpA,Industriforvaltnings AB Kinnevik,Corporate Express NV,Somerfield Ltd,Banco de Valencia SA,
